id,codigo,nombre,descripcion,categoria,subcategoria,precio,stock,calificacion_promedio,total_resenas,url
19,PROD-019,HP Omen 16 RTX 4060,"Laptop gamer con procesador Intel Core i7, RTX 4060 y sistema de refrigeracion OMEN Tempest con camaras de vapor. Cuenta con pantalla QHD de 165Hz y teclado retroiluminado de 4 zonas.",Laptops y Computadoras,Gaming,6999,8,2,4,http://localhost:3000/productos/19
20,PROD-020,Lenovo ThinkPad E14 Gen 5,"Laptop empresarial con procesador Intel Core i7, teclado resistente a derrames y certificacion militar MIL-STD-810H. Incluye lector de huella digital, chip de seguridad TPM 2.0 y hasta 12 horas de bateria.",Laptops y Computadoras,Uso Profesional,3499,16,3.7,3,http://localhost:3000/productos/20
21,PROD-021,Sony WH-1000XM5,Audifonos inalambricos over-ear con cancelacion de ruido lider en la industria mediante ocho microfonos y dos procesadores dedicados. Ofrecen hasta 30 horas de bateria y carga rapida que da 3 horas de uso en solo 3 minutos.,Audio,Audifonos Inalambricos,1699,30,3.8,5,http://localhost:3000/productos/21
22,PROD-022,Apple AirPods Pro 2da Generacion,"Audifonos in-ear con cancelacion activa de ruido y chip Apple H2 para audio espacial personalizado. Incluyen estuche con altavoz de busqueda, carga USB-C y hasta 6 horas de reproduccion por carga.",Audio,Audifonos Inalambricos,999,40,4,3,http://localhost:3000/productos/22
23,PROD-023,Bose QuietComfort Ultra,Audifonos over-ear premium con audio inmersivo y cancelacion de ruido adaptativa que ajusta el nivel segun el entorno. Ofrecen hasta 24 horas de bateria y modo Aware para escuchar el entorno sin quitarselos.,Audio,Audifonos Inalambricos,1899,18,3.3,3,http://localhost:3000/productos/23
24,PROD-024,JBL Flip 6,Parlante portatil resistente al agua y polvo IP67 con sonido JBL Pro Sound y hasta 12 horas de reproduccion. Se puede combinar con otros parlantes JBL compatibles mediante PartyBoost.,Audio,Parlantes Portatiles,449,45,2.8,4,http://localhost:3000/productos/24
25,PROD-025,JBL Charge 5,Parlante portatil con power bank integrado para cargar dispositivos moviles y resistencia IP67 contra agua y polvo. Ofrece hasta 20 horas de reproduccion y graves potentes gracias a su radiador pasivo.,Audio,Parlantes Portatiles,699,35,4,3,http://localhost:3000/productos/25
26,PROD-026,Sony SRS-XB13,Mini parlante portatil compacto con bateria de hasta 16 horas y resistencia al agua IP67. Cuenta con funcion de manos libres y diseno con correa para colgar.,Audio,Parlantes Portatiles,249,55,3,3,http://localhost:3000/productos/26
27,PROD-027,Samsung Galaxy Buds2 Pro,Audifonos in-ear con cancelacion de ruido inteligente y audio de 24 bits compatible con formatos de alta resolucion. Incluyen deteccion de conversacion que baja la musica automaticamente al hablar.,Audio,Audifonos Inalambricos,799,32,3.3,3,http://localhost:3000/productos/27
28,PROD-028,Marshall Emberton II,"Parlante portatil con diseno clasico Marshall, resistencia al agua IP67 y hasta 30 horas de bateria. Permite emparejar dos unidades en modo estereo mediante la app Marshall Bluetooth.",Audio,Parlantes Portatiles,899,20,3,3,http://localhost:3000/productos/28
29,PROD-029,Sennheiser Momentum 4,Audifonos over-ear con hasta 60 horas de bateria y sonido de alta fidelidad ajustable mediante ecualizador de la app Sennheiser Smart Control. Incluyen cancelacion de ruido adaptativa y modo transparencia.,Audio,Audifonos Inalambricos,1499,14,4.5,2,http://localhost:3000/productos/29
30,PROD-030,JBL Tune 510BT,Audifonos on-ear inalambricos con hasta 40 horas de reproduccion y sonido JBL Pure Bass. Se pliegan para un almacenamiento compacto y cuentan con controles multifuncion en la orejera.,Audio,Audifonos Inalambricos,189,60,2.7,3,http://localhost:3000/productos/30
31,PROD-031,LG OLED55C3 55 pulgadas,"Televisor OLED 4K con procesador a9 Gen6 AI, soporte para Dolby Vision IQ y panel evo con brillo mejorado. Incluye cuatro puertos HDMI 2.1 a 48Gbps, ideal para consolas de nueva generacion con 120Hz nativo.",Televisores y Video,Televisores OLED,4999,10,3.8,4,http://localhost:3000/productos/31
32,PROD-032,Samsung QN65Q80C 65 pulgadas QLED,"Televisor QLED 4K con Quantum HDR, tecnologia Object Tracking Sound que sigue la accion en pantalla y Neural Quantum Processor 4K. Cuenta con Motion Xcelerator Turbo Pro a 144Hz para gaming.",Televisores y Video,Televisores QLED,6499,8,3.3,3,http://localhost:3000/productos/32
33,PROD-033,Sony Bravia XR A80L 55 pulgadas OLED,"Televisor OLED con procesador cognitivo XR que analiza la imagen como el ojo humano, Google TV integrado y sonido Acoustic Surface que vibra desde la pantalla. Incluye compatibilidad con Dolby Vision y Dolby Atmos.",Televisores y Video,Televisores OLED,7299,6,4.5,2,http://localhost:3000/productos/33
34,PROD-034,TCL 50 pulgadas 4K Google TV,"Televisor 4K UHD con Google TV integrado, HDR10 y control remoto por voz con Asistente de Google. Cuenta con tres puertos HDMI y modo deportes automatico.",Televisores y Video,Televisores LED,1799,25,2.8,4,http://localhost:3000/productos/34
35,PROD-035,Hisense 55 pulgadas ULED U6,"Televisor ULED 4K con Dolby Vision, Dolby Atmos y panel de matriz completa con atenuacion local. Incluye VIDAA U7 como sistema operativo con acceso a las principales plataformas de streaming.",Televisores y Video,Televisores ULED,2299,18,2.5,2,http://localhost:3000/productos/35
36,PROD-036,Samsung 43 pulgadas Crystal UHD,"Televisor 4K con procesador Crystal 4K, Tizen OS y modo Ambiente para mostrar arte o informacion cuando no esta en uso. Compacto, ideal para dormitorios o espacios reducidos.",Televisores y Video,Televisores LED,1499,30,2.3,4,http://localhost:3000/productos/36
37,PROD-037,LG 50 pulgadas UHD UR8000,"Televisor 4K con webOS 23, compatibilidad con asistentes de voz Alexa y Google Assistant, y procesador Quad Core 4K. Incluye Magic Remote compatible con puntero en pantalla.",Televisores y Video,Televisores LED,1999,22,4,1,http://localhost:3000/productos/37
38,PROD-038,Xiaomi TV A Pro 43 pulgadas,"Televisor 4K con Google TV integrado, audio Dolby y control remoto con boton dedicado para Netflix y YouTube. Cuenta con modo PC para usarlo como monitor externo.",Televisores y Video,Televisores LED,1299,28,3.5,2,http://localhost:3000/productos/38
39,PROD-039,Sony Bravia X75L 65 pulgadas,"Televisor 4K HDR con procesador X1, Google TV y modo Live Football para deportes. Incluye compatibilidad con asistentes de voz y tres entradas HDMI.",Televisores y Video,Televisores LED,3299,12,2,3,http://localhost:3000/productos/39
40,PROD-040,Samsung The Frame 55 pulgadas,"Televisor QLED que se transforma en obra de arte cuando no esta en uso, con sensor de luz ambiental que ajusta el brillo automaticamente. Incluye marco personalizable intercambiable y modo Art Store con miles de obras disponibles.",Televisores y Video,Televisores QLED,5999,7,3.5,2,http://localhost:3000/productos/40
41,PROD-041,Sony PlayStation 5 Slim,"Consola de nueva generacion con lector de discos, SSD ultra rapido de 1TB y soporte para juegos en 4K a hasta 120fps. Incluye control DualSense con retroalimentacion haptica y gatillos adaptativos.",Gaming y Consolas,Consolas,2699,15,4.8,4,http://localhost:3000/productos/41
42,PROD-042,Sony PlayStation 5 Digital Edition,"Consola de nueva generacion sin lector de discos, 100% digital, con SSD de 1TB y carga casi instantanea de juegos. Compatible con el mismo catalogo de titulos que la version con disco a traves de PlayStation Store.",Gaming y Consolas,Consolas,2299,12,3.5,4,http://localhost:3000/productos/42
43,PROD-043,Microsoft Xbox Series X,"Consola con 12 teraflops de potencia grafica, soporte 4K nativo a 120fps y compatibilidad con miles de juegos de generaciones anteriores. Incluye acceso al catalogo de Xbox Game Pass con cientos de titulos.",Gaming y Consolas,Consolas,2599,10,3.3,4,http://localhost:3000/productos/43
44,PROD-044,Nintendo Switch OLED,"Consola hibrida con pantalla OLED de 7 pulgadas, Joy-Con incluidos y base con puerto Ethernet integrado. Ofrece hasta 9 horas de bateria en modo portatil segun el juego.",Gaming y Consolas,Consolas,1599,20,4.4,5,http://localhost:3000/productos/44
45,PROD-045,Nintendo Switch Lite,"Consola portatil compacta dedicada exclusivamente al modo portatil, con controles integrados y pantalla de 5.5 pulgadas. Pesa menos de 300 gramos, ideal para llevar a cualquier lugar.",Gaming y Consolas,Consolas,899,25,2.8,4,http://localhost:3000/productos/45
46,PROD-046,Logitech G502 Hero,"Mouse gamer con sensor HERO de 25600 DPI, 11 botones programables y sistema de pesas ajustables. Compatible con el software Logitech G HUB para personalizar perfiles por juego.",Gaming y Consolas,Perifericos Gaming,189,40,4.3,4,http://localhost:3000/productos/46
47,PROD-047,Razer DeathAdder V3,Mouse gamer ergonomico con sensor optico de 30000 DPI y switches opticos de 90 millones de clics de durabilidad. Pesa menos de 60 gramos gracias a su carcasa ultraligera.,Gaming y Consolas,Perifericos Gaming,259,35,3.7,3,http://localhost:3000/productos/47
48,PROD-048,HyperX Cloud II,"Audifonos gamer con sonido envolvente virtual 7.1, microfono desmontable con cancelacion de ruido y almohadillas de espuma con memoria. Compatible con PC, PS5, Xbox y Nintendo Switch.",Gaming y Consolas,Perifericos Gaming,349,30,3,4,http://localhost:3000/productos/48
49,PROD-049,SteelSeries Arctis Nova 7,"Audifonos gamer inalambricos con audio espacial, bateria de 38 horas y conexion simultanea por Bluetooth y receptor 2.4GHz. Incluyen carga rapida que da 6 horas de uso en 15 minutos.",Gaming y Consolas,Perifericos Gaming,799,16,4.5,2,http://localhost:3000/productos/49
50,PROD-050,Razer Kishi V2,"Control gamepad para smartphones compatible con Android e iOS, con conexion directa sin latencia mediante USB-C o Lightning. Se pliega facilmente para guardarlo en el bolsillo.",Gaming y Consolas,Perifericos Gaming,399,20,3.3,4,http://localhost:3000/productos/50
51,PROD-051,Apple Watch Series 9 GPS 41mm,"Smartwatch con chip S9, pantalla Retina Always-On hasta 2000 nits y sensor de oxigeno en sangre. Incluye gesto de doble toque para controlar el reloj sin tocar la pantalla.",Wearables y Fitness,Smartwatches,1899,24,4,4,http://localhost:3000/productos/51
52,PROD-052,Apple Watch Ultra 2,"Smartwatch resistente para deportes extremos con GPS de doble frecuencia, caja de titanio y resistencia al agua hasta 100 metros. Ofrece hasta 36 horas de bateria en modo normal.",Wearables y Fitness,Smartwatches,3999,9,4,4,http://localhost:3000/productos/52
53,PROD-053,Samsung Galaxy Watch6 Classic,"Smartwatch con bisel giratorio fisico, monitoreo avanzado de salud y medicion de composicion corporal. Incluye pantalla Super AMOLED protegida con cristal de zafiro.",Wearables y Fitness,Smartwatches,1699,18,3.3,3,http://localhost:3000/productos/53
54,PROD-054,Garmin Forerunner 265,"Reloj deportivo con pantalla AMOLED, metricas avanzadas de entrenamiento y calculo de carga de entrenamiento. Ofrece hasta 13 dias de bateria en modo reloj inteligente.",Wearables y Fitness,Relojes Deportivos,2199,12,4.3,4,http://localhost:3000/productos/54
55,PROD-055,Garmin Fenix 7,"Reloj multideporte premium con mapas topograficos precargados, brujula de tres ejes y hasta 18 dias de bateria en modo reloj inteligente. Resistente al agua hasta 100 metros, ideal para montanismo y buceo.",Wearables y Fitness,Relojes Deportivos,3799,7,3.3,3,http://localhost:3000/productos/55
56,PROD-056,Xiaomi Smart Band 8,"Pulsera de actividad con pantalla AMOLED, mas de 150 modos deportivos y resistencia al agua de 5ATM. Ofrece hasta 16 dias de autonomia con uso tipico.",Wearables y Fitness,Bandas de Actividad,149,60,4,4,http://localhost:3000/productos/56
57,PROD-057,Fitbit Charge 6,"Pulsera de actividad con GPS integrado, seguimiento de frecuencia cardiaca 24/7 y compatibilidad con Google Maps y YouTube Music. Incluye hasta 7 dias de bateria.",Wearables y Fitness,Bandas de Actividad,699,26,3.3,3,http://localhost:3000/productos/57
58,PROD-058,Amazfit GTS 4 Mini,"Smartwatch delgado con GPS integrado, mas de 120 modos deportivos y hasta 15 dias de bateria. Cuenta con pantalla AMOLED de 1.65 pulgadas y resistencia al agua de 5ATM.",Wearables y Fitness,Smartwatches,449,32,3.3,3,http://localhost:3000/productos/58
59,PROD-059,Garmin Venu 3,"Smartwatch con coach de sueno, altavoz y microfono integrados para llamadas y hasta 14 dias de bateria. Incluye simulador de entrenamiento y deteccion de estres.",Wearables y Fitness,Relojes Deportivos,2499,10,4.3,3,http://localhost:3000/productos/59
60,PROD-060,Huawei Watch GT 4,"Smartwatch con diseno elegante, monitoreo cientifico del sueno TruSleep y mas de 100 modos deportivos. Ofrece hasta 7 dias de bateria con uso normal.",Wearables y Fitness,Smartwatches,999,20,2.8,4,http://localhost:3000/productos/60
61,PROD-061,Canon EOS R50 con lente 18-45mm,"Camara mirrorless APS-C de 24.2MP orientada a creadores de contenido, con pantalla abatible y modo de grabacion vertical para redes sociales. Incluye autoenfoque con deteccion de sujetos por inteligencia artificial.",Fotografia y Video,Camaras Mirrorless,3499,10,4.7,3,http://localhost:3000/productos/61
62,PROD-062,Sony Alpha a6400,"Camara mirrorless APS-C con autoenfoque de 425 puntos, seguimiento de ojo en tiempo real y video 4K sin recorte. Cuenta con pantalla abatible 180 grados ideal para vlogging.",Fotografia y Video,Camaras Mirrorless,4299,8,4.3,4,http://localhost:3000/productos/62
63,PROD-063,Canon EOS Rebel T7,"Camara DSLR de 24.1MP ideal para quienes inician en fotografia, con sensor APS-C y conectividad WiFi para compartir fotos facilmente. Compatible con toda la gama de lentes Canon EF.",Fotografia y Video,Camaras DSLR,1899,14,2.8,4,http://localhost:3000/productos/63
64,PROD-064,GoPro HERO12 Black,"Camara de accion resistente al agua hasta 10 metros sin carcasa adicional, con estabilizacion HyperSmooth 6.0 y grabacion en 5.3K. Ofrece mayor autonomia de bateria que generaciones anteriores.",Fotografia y Video,Camaras de Accion,1799,22,4.3,4,http://localhost:3000/productos/64
65,PROD-065,DJI Osmo Action 4,"Camara de accion con sensor de 1/1.3 pulgadas, gran rendimiento en poca luz y resistencia al agua hasta 18 metros sin carcasa. Incluye pantallas duales frontal y trasera para encuadrar selfies.",Fotografia y Video,Camaras de Accion,1699,18,3.3,4,http://localhost:3000/productos/65
66,PROD-066,DJI Mini 4 Pro,Dron ligero de menos de 249 gramos con camara 4K a 60fps y deteccion de obstaculos omnidireccional. No requiere licencia de piloto en la mayoria de paises gracias a su peso reducido.,Fotografia y Video,Drones,4499,6,4.3,4,http://localhost:3000/productos/66
67,PROD-067,DJI Air 3,"Dron con doble camara gran angular y teleobjetivo, hasta 46 minutos de autonomia de vuelo y transmision de video a larga distancia. Incluye deteccion de obstaculos en las cuatro direcciones.",Fotografia y Video,Drones,6999,4,3.7,3,http://localhost:3000/productos/67
68,PROD-068,Nikon Z50,"Camara mirrorless APS-C compacta con video 4K UHD, pantalla abatible hacia abajo para selfies y autoenfoque hibrido de 209 puntos. Ideal para viajeros por su tamano y peso reducidos.",Fotografia y Video,Camaras Mirrorless,3999,9,4,2,http://localhost:3000/productos/68
69,PROD-069,Fujifilm Instax Mini 12,Camara instantanea compacta con flash automatico y modo selfie con espejo integrado. Usa peliculas Instax Mini para revelar fotos fisicas al instante.,Fotografia y Video,Camaras Instantaneas,349,40,3,4,http://localhost:3000/productos/69
70,PROD-070,Insta360 X4,"Camara 360 grados con grabacion 8K, estabilizacion FlowState y modo invisible que elimina el palo de selfie de la toma. Resistente al agua hasta 10 metros sin carcasa adicional.",Fotografia y Video,Camaras de Accion,2299,12,5,2,http://localhost:3000/productos/70
71,PROD-071,Amazon Echo Dot 5ta Generacion,"Altavoz inteligente con Alexa, mejor calidad de audio que generaciones anteriores y sensor de temperatura integrado. Permite controlar dispositivos de casa inteligente compatibles mediante comandos de voz.",Electrodomesticos Inteligentes,Asistentes Virtuales,189,50,3.3,4,http://localhost:3000/productos/71
72,PROD-072,Google Nest Mini 2da Generacion,Altavoz inteligente compacto con Google Assistant integrado y montaje para pared incluido. Se puede combinar en grupos multi-habitacion para reproducir musica sincronizada.,Electrodomesticos Inteligentes,Asistentes Virtuales,159,45,3,3,http://localhost:3000/productos/72
73,PROD-073,Xiaomi Robot Vacuum X10+,"Robot aspiradora con estacion de auto-vaciado, navegacion LiDAR y funcion de trapeado con deposito de agua. Mapea la casa por habitaciones y permite establecer zonas restringidas desde la app.",Electrodomesticos Inteligentes,Robots Aspiradora,1899,10,4.3,4,http://localhost:3000/productos/73
74,PROD-074,iRobot Roomba 694,"Robot aspiradora con conectividad WiFi, control por app y sistema de limpieza de tres etapas. Se programa facilmente para limpiar en horarios especificos cada semana.",Electrodomesticos Inteligentes,Robots Aspiradora,1499,14,2.8,5,http://localhost:3000/productos/74
75,PROD-075,Philips Hue White and Color Kit de Inicio,"Kit de iluminacion inteligente con 16 millones de colores, control por voz compatible con Alexa y Google Assistant, y puente Hue incluido. Permite crear escenas y rutinas automatizadas desde la app.",Electrodomesticos Inteligentes,Iluminacion Inteligente,599,20,4,3,http://localhost:3000/productos/75
76,PROD-076,TP-Link Tapo C220,"Camara de seguridad IP con vision panoramica de 360 grados, vision nocturna a color y deteccion de personas con inteligencia artificial. Incluye almacenamiento en tarjeta microSD y alertas push en tiempo real.",Electrodomesticos Inteligentes,Seguridad Inteligente,219,30,3.7,3,http://localhost:3000/productos/76
77,PROD-077,Ring Video Doorbell Wired,"Timbre inteligente con video HD, deteccion de movimiento avanzada y comunicacion bidireccional por audio. Se conecta directamente al cableado del timbre existente en la vivienda.",Electrodomesticos Inteligentes,Seguridad Inteligente,399,22,2.3,4,http://localhost:3000/productos/77
78,PROD-078,Xiaomi Mi Smart Kettle Pro,Hervidor electrico inteligente con control de temperatura desde app y cinco modos preestablecidos para distintos tipos de te. Mantiene la temperatura seleccionada hasta por una hora.,Electrodomesticos Inteligentes,Cocina Inteligente,249,25,4,2,http://localhost:3000/productos/78
79,PROD-079,Instant Pot Duo 7 en 1,"Olla multifuncion que combina olla a presion, arrocera, olla de coccion lenta, vaporera y mas en un solo equipo. Incluye programas preestablecidos y valvula de liberacion de presion automatica.",Electrodomesticos Inteligentes,Cocina Inteligente,449,18,4.5,4,http://localhost:3000/productos/79
80,PROD-080,Samsung Family Hub Refrigeradora Inteligente,"Refrigeradora con pantalla tactil de 21.5 pulgadas, camaras internas para revisar el contenido desde el celular y gestion de inventario desde app. Permite dejar notas familiares y reproducir musica o video en la pantalla.",Electrodomesticos Inteligentes,Linea Blanca Inteligente,12999,3,3.3,4,http://localhost:3000/productos/80
81,PROD-081,Logitech MX Master 3S,"Mouse inalambrico ergonomico con seguimiento de 8000 DPI, scroll electromagnetico MagSpeed y clics silenciosos. Se conecta hasta con tres dispositivos simultaneamente mediante Bluetooth o receptor USB.",Accesorios y Componentes,Perifericos,399,28,5,3,http://localhost:3000/productos/81
82,PROD-082,Anker 737 Power Bank 24000mAh,Bateria portatil de alta capacidad con carga rapida de 140W y pantalla que muestra el porcentaje exacto y tiempo restante de carga. Puede cargar una laptop y un celular al mismo tiempo.,Accesorios y Componentes,Cargadores y Baterias,349,30,4.3,4,http://localhost:3000/productos/82
83,PROD-083,Anker PowerLine III Cable USB-C,Cable USB-C de alta durabilidad con hasta 25000 flexiones probadas en laboratorio y soporte para carga rapida de hasta 100W. Disponible en distintas longitudes para mayor comodidad.,Accesorios y Componentes,Cables y Adaptadores,59,80,4,2,http://localhost:3000/productos/83
84,PROD-084,Kingston NV2 SSD NVMe 1TB,Unidad de estado solido NVMe con velocidades de lectura de hasta 3500 MB/s y factor de forma M.2 2280 compatible con la mayoria de laptops y PC modernas. Ideal para actualizar equipos con disco mecanico.,Accesorios y Componentes,Almacenamiento,249,35,4,4,http://localhost:3000/productos/84
85,PROD-085,Samsung T7 SSD Portatil 1TB,"SSD externo portatil con velocidades de hasta 1050 MB/s, carcasa resistente a caidas de hasta dos metros y cifrado AES de 256 bits opcional. Se conecta mediante USB-C 3.2.",Accesorios y Componentes,Almacenamiento,399,24,3.8,4,http://localhost:3000/productos/85
86,PROD-086,SanDisk Extreme microSD 256GB,"Tarjeta microSD de alto rendimiento con velocidades de hasta 190 MB/s de lectura, clasificacion A2 para aplicaciones y resistencia al agua, golpes y temperaturas extremas. Ideal para camaras de accion y drones.",Accesorios y Componentes,Almacenamiento,129,50,3.3,3,http://localhost:3000/productos/86
87,PROD-087,Corsair Vengeance 16GB DDR4 3200MHz,Kit de memoria RAM de alto rendimiento con disipador de aluminio y perfil XMP 2.0 para overclocking sencillo. Compatible con la mayoria de placas madre de escritorio Intel y AMD.,Accesorios y Componentes,Componentes PC,249,30,3.8,4,http://localhost:3000/productos/87
88,PROD-088,WD Blue 2TB HDD,"Disco duro interno de 2TB con velocidad de rotacion de 7200 RPM e interfaz SATA III, ideal para almacenamiento masivo en PC de escritorio. Incluye cache de 256MB para mejorar el rendimiento en transferencias grandes.",Accesorios y Componentes,Almacenamiento,249,26,3,4,http://localhost:3000/productos/88
89,PROD-089,Belkin Cargador USB-C 30W,"Cargador de pared compacto con carga rapida USB Power Delivery, compatible con smartphones, tablets y algunas laptops ligeras. Incluye proteccion contra sobrecarga y sobrecalentamiento.",Accesorios y Componentes,Cargadores y Baterias,89,45,4.5,2,http://localhost:3000/productos/89
90,PROD-090,Logitech C920 Webcam HD Pro,"Webcam Full HD 1080p con enfoque automatico, microfono estereo integrado con reduccion de ruido y correccion de luz automatica. Compatible con las principales plataformas de videollamadas.",Accesorios y Componentes,Perifericos,279,20,4.7,3,http://localhost:3000/productos/90
